"Name","OperatingSystem","Domain"
"USSISDOMV01","Windows Server 2008 R2 Standard","alico.corp"
"AUSYDDOMV01","Windows Server 2008 R2 Standard","alico.corp"
"USRISDOMV03","Windows Server 2012 R2 Standard","alico.corp"
"USSISDOMV03","Windows Server 2012 R2 Standard","alico.corp"
"CLSCL1METDCP01","Windows Server 2012 R2 Standard","alico.corp"
"PLLOD1METDCV01","Windows Server 2012 R2 Datacenter","alico.corp"
"PLLOD1METDCV02","Windows Server 2012 R2 Datacenter","alico.corp"
"SKBRADOMV02","Windows Server 2012 R2 Standard","alico.corp"
"PLWAW1DOMV01","Windows Server 2012 R2 Standard","alico.corp"
"MYSEP1METDCV01","Windows Server 2012 R2 Standard","alico.corp"
"HKG1METDCV01","Windows Server 2012 R2 Standard","alico.corp"
"AEAUHDOMV01","Windows Server 2012 R2 Datacenter","alico.corp"
"USTRY1METV0156","Windows Server 2016 Standard","alico.corp"
"TRISTDOMV01","Windows Server 2016 Datacenter","alico.corp"
"FRMARDOMV01","Windows Server 2016 Datacenter","alico.corp"
"EGCAI1METDCP01","Windows Server 2016 Standard","alico.corp"
"JOAMMDOMV02","Windows Server 2016 Standard","alico.corp"
"AEAUHDOMV03","Windows Server 2016 Datacenter","alico.corp"
"AEDXBDOMV01","Windows Server 2016 Datacenter","alico.corp"
"CNSZPWALICO01","Windows Server 2016 Standard","alico.corp"
"CNSZPWALICO02","Windows Server 2016 Standard","alico.corp"
"LBBEY1METDCV01","Windows Server 2016 Standard","alico.corp"
"GRATHDOMP01","Windows Server 2016 Standard","alico.corp"
"PLWAW1METDC01","Windows Server 2016 Standard","alico.corp"
"INBLRDOMP01","Windows Server 2016 Standard","alico.corp"
"INBLRDOMP02","Windows Server 2016 Standard","alico.corp"
"ARBUEDOMP01","Windows Server 2016 Standard","alico.corp"
"ARBUEDOMV03","Windows Server 2016 Standard","alico.corp"
"CLSANDOMV02","Windows Server 2016 Standard","alico.corp"
"FRCCH1METV0001","Windows Server 2016 Datacenter","alico.corp"
"JPOSKDOMP04","Windows Server 2016 Datacenter","alico.corp"
"JPTKODOMP04","Windows Server 2016 Datacenter","alico.corp"
"RUMSKDOMV01","Windows Server 2016 Datacenter","alico.corp"
"BDDACDOMV02","Windows Server 2016 Standard","alico.corp"
"JPOSKDOMP03","Windows Server 2016 Datacenter","alico.corp"
"JPTKODOMP03","Windows Server 2016 Datacenter","alico.corp"
"KRSELDOMP01","Windows Server 2016 Standard","alico.corp"
"MXCDMXDOMP03","Windows Server 2016 Standard","alico.corp"
"AUSYD1METV0021","Windows Server 2016 Standard","alico.corp"
"AUSYD2METV0021","Windows Server 2016 Datacenter","alico.corp"
"USRISDOMV01","Windows Server 2016 Standard","alico.corp"
"FRMARDOMV02","Windows Server 2016 Standard","alico.corp"
"FRCCH1METDCV01","Windows Server 2016 Standard","alico.corp"
