Timestamp,Username,Action,Resource,Status,IPAddress
2024-01-15 07:45:01,jsmith,LOGIN,VPN,SUCCESS,71.34.22.105
2024-01-15 07:48:12,alopez,LOGIN,VPN,SUCCESS,98.112.55.200
2024-01-15 07:50:33,tchen,LOGIN,VPN,SUCCESS,174.62.88.14
2024-01-15 07:52:44,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 07:53:01,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 07:53:18,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 07:55:00,mwilson,LOGIN,VPN,SUCCESS,50.78.200.6
2024-01-15 07:58:22,rpatel,LOGIN,VPN,SUCCESS,67.180.44.91
2024-01-15 08:00:01,jsmith,LOGIN,VPN,SUCCESS,71.34.22.105
2024-01-15 08:01:15,kthompson,LOGIN,VPN,SUCCESS,24.99.201.55
2024-01-15 08:02:30,dnguyen,LOGIN,VPN,FAILED,172.56.33.18
2024-01-15 08:02:55,dnguyen,LOGIN,VPN,FAILED,172.56.33.18
2024-01-15 08:03:10,dnguyen,LOGIN,VPN,SUCCESS,172.56.33.18
2024-01-15 08:05:22,jsmith,ACCESS,FileShare,SUCCESS,10.10.1.45
2024-01-15 08:06:00,alopez,ACCESS,FileShare,SUCCESS,10.10.1.102
2024-01-15 08:07:10,tchen,ACCESS,HRSystem,SUCCESS,10.10.5.88
2024-01-15 08:08:45,mwilson,ACCESS,FileShare,SUCCESS,10.10.2.5
2024-01-15 08:09:00,rpatel,ACCESS,Confluence,SUCCESS,10.10.1.78
2024-01-15 08:10:05,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 08:11:13,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 08:12:01,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 08:13:00,lfoster,LOGIN,VPN,SUCCESS,108.48.77.230
2024-01-15 08:14:22,smartin,LOGIN,VPN,SUCCESS,75.21.140.9
2024-01-15 08:15:30,mwilson,LOGIN,VPN,SUCCESS,50.78.200.6
2024-01-15 08:16:00,kthompson,ACCESS,FileShare,SUCCESS,10.10.5.201
