﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3tGhRLgcCP6SIZU3tbGl7l","Got To Get You Into My Life - Remastered 2009","The Beatles","Revolver (Remastered)","1","13","149240","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:5GjPQ0eI7AgmOnADn1EO6Q","Eleanor Rigby - Remastered 2009","The Beatles","Revolver (Remastered)","1","2","126533","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:25yQPHgC35WNnnOUqFhgVR","Lucy In The Sky With Diamonds - Remastered 2009","The Beatles","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","1","3","208466","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:2RnPATK99oGOZygnD2GTO6","With A Little Help From My Friends - Remastered 2009","The Beatles","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","1","2","164106","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:4fUKE8EULjQdHF4zb0M8FO","Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009","The Beatles","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","1","1","122893","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:3Am0IbOxmvlSXro7N5iSfZ","Strawberry Fields Forever - Remastered 2009","The Beatles","Magical Mystery Tour (Remastered)","1","8","247320","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:6Pq9MmkDQYZiiCDpxnvrf6","I Am The Walrus - Remastered 2009","The Beatles","Magical Mystery Tour (Remastered)","1","6","275866","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:0qHMhBZqYb99yhX9BHcIkV","Magical Mystery Tour - Remastered 2009","The Beatles","Magical Mystery Tour (Remastered)","1","1","170106","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:3T4Kt51PV4k8tx6YCtBgcl","Good Night - Remastered","The Beatles","The Beatles (Remastered)","2","13","193760","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:1aOzDhi5a1RWWRy5dmYA8I","Revolution 1 - Remastered","The Beatles","The Beatles (Remastered)","2","8","255706","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:2tBv9tAdqEbLNDi5smSjbg","Sexy Sadie - Remastered","The Beatles","The Beatles (Remastered)","2","5","195266","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:1ITQbrueGLl581a25XXm9c","Rocky Raccoon - Remastered","The Beatles","The Beatles (Remastered)","1","13","213106","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:4ZmjfLdJXbqjAENqk7eWSE","Piggies - Remastered","The Beatles","The Beatles (Remastered)","1","12","124266","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:389QX9Q1eUOEZ19vtzzI9O","While My Guitar Gently Weeps - Remastered","The Beatles","The Beatles (Remastered)","1","7","285000","spotify:user:128851266","2016-03-04T01:16:28Z"
"spotify:track:1gFNm7cXfG1vSMcxPpSxec","Ob-La-Di, Ob-La-Da - Remastered","The Beatles","The Beatles (Remastered)","1","4","188960","spotify:user:128851266","2016-03-04T01:16:28Z"
